Customer_ID,Signup_Date,Plan,Monthly_Fee,Region,Acquisition_Channel,Status,Tenure_Months,Churn_Date,Churn_Reason,Signup_Cohort
CUST00001,2023-06-25,Basic,299,South,Social Media,Churned,6,2023-12-22,Poor support experience,2023-06
CUST00002,2024-03-08,Premium,999,South,Organic,Active,9,,,2024-03
CUST00003,2024-04-07,Standard,599,East,Paid Ads,Active,8,,,2024-04
CUST00004,2024-03-24,Standard,599,South,Paid Ads,Active,9,,,2024-03
CUST00005,2024-02-20,Basic,299,South,Paid Ads,Churned,3,2024-05-20,Price too high,2024-02
CUST00006,2024-01-29,Standard,599,West,Social Media,Active,11,,,2024-01
CUST00007,2024-10-10,Basic,299,West,Paid Ads,Active,2,,,2024-10
CUST00008,2024-05-10,Basic,299,North,Paid Ads,Active,7,,,2024-05
CUST00009,2024-05-12,Premium,999,North,Organic,Active,7,,,2024-05
CUST00010,2024-08-11,Basic,299,South,Referral,Active,4,,,2024-08
CUST00011,2024-09-25,Standard,599,North,Paid Ads,Active,3,,,2024-09
CUST00012,2024-07-29,Standard,599,North,Referral,Active,5,,,2024-07
CUST00013,2023-02-12,Standard,599,South,Organic,Active,22,,,2023-02
CUST00014,2023-08-20,Basic,299,North,Paid Ads,Churned,9,2024-05-16,Missing features,2023-08
CUST00015,2024-01-02,Basic,299,North,Referral,Active,12,,,2024-01
CUST00016,2024-09-29,Basic,299,South,Paid Ads,Active,3,,,2024-09
CUST00017,2024-01-16,Basic,299,South,Organic,Active,11,,,2024-01
CUST00018,2023-01-06,Standard,599,South,Paid Ads,Churned,2,2023-03-07,Not using enough,2023-01
CUST00019,2024-03-26,Standard,599,West,Referral,Active,9,,,2024-03
CUST00020,2023-09-23,Basic,299,South,Organic,Active,15,,,2023-09
CUST00021,2024-03-19,Premium,999,South,Social Media,Active,9,,,2024-03
CUST00022,2024-07-09,Standard,599,West,Organic,Active,5,,,2024-07
CUST00023,2023-01-29,Basic,299,South,Paid Ads,Active,23,,,2023-01
CUST00024,2023-09-16,Basic,299,North,Organic,Churned,1,2023-10-16,Technical issues,2023-09
CUST00025,2024-06-16,Standard,599,East,Social Media,Churned,6,2024-12-13,Price too high,2024-06
CUST00026,2023-08-15,Standard,599,East,Referral,Active,16,,,2023-08
CUST00027,2023-06-24,Basic,299,South,Referral,Churned,13,2024-07-18,Not using enough,2023-06
CUST00028,2024-01-18,Basic,299,East,Referral,Active,11,,,2024-01
CUST00029,2023-03-19,Standard,599,North,Referral,Churned,12,2024-03-13,Poor support experience,2023-03
CUST00030,2024-06-23,Premium,999,North,Paid Ads,Churned,1,2024-07-23,Poor support experience,2024-06
CUST00031,2024-06-26,Basic,299,South,Social Media,Active,6,,,2024-06
CUST00032,2024-06-13,Standard,599,West,Referral,Churned,5,2024-11-10,Poor support experience,2024-06
CUST00033,2024-05-05,Premium,999,South,Paid Ads,Active,8,,,2024-05
CUST00034,2024-07-21,Premium,999,East,Organic,Active,5,,,2024-07
CUST00035,2024-10-23,Basic,299,West,Social Media,Active,2,,,2024-10
CUST00036,2023-11-08,Standard,599,South,Social Media,Active,13,,,2023-11
CUST00037,2023-04-30,Standard,599,North,Organic,Active,20,,,2023-04
CUST00038,2024-03-24,Basic,299,North,Paid Ads,Churned,1,2024-04-23,Price too high,2024-03
CUST00039,2024-10-25,Basic,299,West,Referral,Active,2,,,2024-10
CUST00040,2024-09-05,Basic,299,North,Social Media,Active,3,,,2024-09
CUST00041,2023-09-19,Standard,599,South,Paid Ads,Active,15,,,2023-09
CUST00042,2024-05-20,Basic,299,East,Organic,Churned,4,2024-09-17,Found alternative,2024-05
CUST00043,2024-02-05,Standard,599,West,Paid Ads,Churned,1,2024-03-06,Not using enough,2024-02
CUST00044,2023-08-14,Basic,299,North,Organic,Churned,1,2023-09-13,Poor support experience,2023-08
CUST00045,2024-01-11,Premium,999,South,Paid Ads,Churned,9,2024-10-07,Found alternative,2024-01
CUST00046,2024-05-06,Basic,299,East,Referral,Active,7,,,2024-05
CUST00047,2024-05-09,Premium,999,West,Referral,Active,7,,,2024-05
CUST00048,2024-10-01,Basic,299,South,Organic,Active,3,,,2024-10
CUST00049,2023-05-02,Standard,599,East,Organic,Churned,10,2024-02-26,Poor support experience,2023-05
CUST00050,2023-12-24,Premium,999,South,Paid Ads,Active,12,,,2023-12
CUST00051,2024-01-01,Basic,299,West,Paid Ads,Churned,4,2024-04-30,Not using enough,2024-01
CUST00052,2023-05-16,Basic,299,South,Paid Ads,Churned,4,2023-09-13,Poor support experience,2023-05
CUST00053,2023-01-17,Premium,999,North,Referral,Active,23,,,2023-01
CUST00054,2023-03-30,Basic,299,North,Organic,Churned,9,2023-12-25,Price too high,2023-03
CUST00055,2024-02-05,Premium,999,North,Paid Ads,Active,11,,,2024-02
CUST00056,2023-08-14,Premium,999,West,Paid Ads,Active,16,,,2023-08
CUST00057,2023-08-11,Basic,299,West,Paid Ads,Churned,8,2024-04-07,Missing features,2023-08
CUST00058,2024-03-29,Basic,299,South,Organic,Churned,1,2024-04-28,Not using enough,2024-03
CUST00059,2024-05-31,Basic,299,North,Organic,Churned,2,2024-07-30,Technical issues,2024-05
CUST00060,2023-02-17,Basic,299,South,Paid Ads,Churned,6,2023-08-16,Missing features,2023-02
CUST00061,2023-02-12,Basic,299,South,Paid Ads,Active,22,,,2023-02
